title,movieid,year,perf_match,am_href,am_title,am_genres
Rush Hour 2,tt0266915,2001,mw0000010202,https://www.allmusic.com/album/rush-hour-2-soundtrack-mw0000010202,Rush Hour 2 [Soundtrack],"Stage & Screen, R&B, Rap"
Tortilla Soup,tt0255653,2001,mw0000010525,https://www.allmusic.com/album/tortilla-soup-mw0000010525,Tortilla Soup,"Stage & Screen, International, Latin"
Hedwig and the Angry Inch,tt0248845,2001,mw0000010914,https://www.allmusic.com/album/hedwig-and-the-angry-inch-mw0000010914,Hedwig and the Angry Inch,Stage & Screen
The Princess Diaries,tt0247638,2001,mw0000011309,https://www.allmusic.com/album/the-princess-diaries-mw0000011309,The Princess Diaries,"Stage & Screen, Pop/Rock"
Captain Corelli's Mandolin,tt0238112,2001,mw0000011491,https://www.allmusic.com/album/captain-corellis-mandolin-original-motion-picture-soundtrack-mw0000011491,Captain Corelli's Mandolin [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
Ghost World,tt0162346,2001,mw0000011641,https://www.allmusic.com/album/ghost-world-mw0000011641,Ghost World,"Stage & Screen, Blues"
Osmosis Jones,tt0181739,2001,mw0000012264,https://www.allmusic.com/album/osmosis-jones-mw0000012264,Osmosis Jones,Stage & Screen
Two Can Play That Game,tt0269341,2001,mw0000012854,https://www.allmusic.com/album/two-can-play-that-game-mw0000012854,Two Can Play That Game,"Stage & Screen, R&B"
Summer Catch,tt0234829,2001,mw0000012876,https://www.allmusic.com/album/summer-catch-mw0000012876,Summer Catch,"Stage & Screen, Pop/Rock"
Jay and Silent Bob Strike Back,tt0261392,2001,mw0000013032,https://www.allmusic.com/album/jay-and-silent-bob-strike-back-original-motion-picture-score-mw0000013032,Jay and Silent Bob Strike Back [Original Motion Picture Score],"Stage & Screen, Classical"
Training Day,tt0139654,2001,mw0000013278,https://www.allmusic.com/album/training-day-mw0000013278,Training Day,"Stage & Screen, R&B, Pop/Rock, Rap"
Hearts in Atlantis,tt0252501,2001,mw0000014186,https://www.allmusic.com/album/hearts-in-atlantis-mw0000014186,Hearts in Atlantis,"Stage & Screen, Pop/Rock"
Don't Say a Word,tt0260866,2001,mw0000015347,https://www.allmusic.com/album/dont-say-a-word-original-motion-picture-soundtrack-mw0000015347,Don't Say a Word [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
K-PAX,tt0272152,2001,mw0000015423,https://www.allmusic.com/album/k-pax-original-motion-picture-soundtrack-mw0000015423,K-Pax [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
The Man Who Wasn't There,tt0243133,2001,mw0000015434,https://www.allmusic.com/album/the-man-who-wasnt-there-original-score-mw0000015434,The Man Who Wasn't There [Original Score],"Stage & Screen, Classical"
Amélie,tt0211915,2002,mw0000015837,https://www.allmusic.com/album/am%C3%A9lie-original-soundtrack-mw0000015837,Amélie [Original Soundtrack],Stage & Screen
Riding in Cars with Boys,tt0200027,2001,mw0000015902,https://www.allmusic.com/album/riding-in-cars-with-boys-mw0000015902,Riding in Cars with Boys,"Stage & Screen, Pop/Rock"
Life as a House,tt0264796,2001,mw0000016154,https://www.allmusic.com/album/life-as-a-house-original-motion-picture-soundtrack-mw0000016154,Life as a House [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
Shallow Hal,tt0256380,2001,mw0000016169,https://www.allmusic.com/album/shallow-hal-mw0000016169,Shallow Hal,"Stage & Screen, Pop/Rock"
Kangaroo Jack,tt0257568,2003,mw0000018262,https://www.allmusic.com/album/kangaroo-jack-mw0000018262,Kangaroo Jack,"Stage & Screen, Pop/Rock, Rap"
Shanghai Knights,tt0300471,2003,mw0000019088,https://www.allmusic.com/album/shanghai-knights-mw0000019088,Shanghai Knights,"Stage & Screen, Pop/Rock"
Two Weeks Notice,tt0313737,2002,mw0000019201,https://www.allmusic.com/album/two-weeks-notice-original-motion-picture-score-mw0000019201,Two Weeks Notice [Original Motion Picture Score],"Stage & Screen, Classical"
Cradle 2 the Grave,tt0306685,2003,mw0000019663,https://www.allmusic.com/album/cradle-2-the-grave-mw0000019663,Cradle 2 the Grave,Stage & Screen
Warriors of Virtue,tt0120479,1997,mw0000019979,https://www.allmusic.com/album/warriors-of-virtue-mw0000019979,Warriors of Virtue,Stage & Screen
The Fifth Element,tt0119116,1997,mw0000020753,https://www.allmusic.com/album/the-fifth-element-original-motion-picture-soundtrack-mw0000020753,The Fifth Element [Original Motion Picture Soundtrack],Stage & Screen
Bringing Down the House,tt0305669,2003,mw0000021053,https://www.allmusic.com/album/bringing-down-the-house-mw0000021053,Bringing Down the House,"Stage & Screen, R&B, Rap"
Menace II Society,tt0107554,1993,mw0000021126,https://www.allmusic.com/album/menace-ii-society-mw0000021126,Menace II Society,"Rap, Stage & Screen"
Donnie Brasco,tt0119008,1997,mw0000021695,https://www.allmusic.com/album/donnie-brasco-original-soundtrack-mw0000021695,Donnie Brasco [Original Soundtrack],"Pop/Rock, Stage & Screen, R&B"
House of 1000 Corpses,tt0251736,2003,mw0000021706,https://www.allmusic.com/album/house-of-1000-corpses-mw0000021706,House of 1000 Corpses,Stage & Screen
Piglet's Big Movie,tt0323642,2003,mw0000021946,https://www.allmusic.com/album/piglets-big-movie-soundtrack-mw0000021946,Piglet's Big Movie [Soundtrack],"Children's, Stage & Screen"
Bend It Like Beckham,tt0286499,2003,mw0000022133,https://www.allmusic.com/album/bend-it-like-beckham-milan-mw0000022133,Bend It Like Beckham [Milan],"Stage & Screen, Pop/Rock, R&B"
Darkness Falls,tt0282209,2003,mw0000022226,https://www.allmusic.com/album/darkness-falls-original-motion-picture-soundtrack-mw0000022226,Darkness Falls [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
8 Heads in a Duffel Bag,tt0118541,1997,mw0000022281,https://www.allmusic.com/album/8-heads-in-a-duffel-bag-mw0000022281,8 Heads in a Duffel Bag,Stage & Screen
Batman & Robin,tt0118688,1997,mw0000022304,https://www.allmusic.com/album/batman-robin-music-from-and-inspired-by-the-motion-picture-mw0000022304,Batman & Robin [Music from and Inspired by the Motion Picture],"Stage & Screen, Pop/Rock"
Speed 2: Cruise Control,tt0120179,1997,mw0000022520,https://www.allmusic.com/album/speed-2-cruise-control-mw0000022520,Speed 2: Cruise Control,Stage & Screen
Con Air,tt0118880,1997,mw0000023216,https://www.allmusic.com/album/con-air-music-from-the-motion-picture-mw0000023216,Con Air [Music from the Motion Picture],Stage & Screen
Agent Cody Banks,tt0313911,2003,mw0000023453,https://www.allmusic.com/album/agent-cody-banks-mw0000023453,Agent Cody Banks,Stage & Screen
Romy and Michele's High School Reunion,tt0120032,1997,mw0000023671,https://www.allmusic.com/album/romy-micheles-high-school-reunion-mw0000023671,Romy & Michele's High School Reunion,"Stage & Screen, Electronic, Pop/Rock"
The Wild Thornberrys Movie,tt0282120,2002,mw0000023891,https://www.allmusic.com/album/the-wild-thornberrys-movie-original-score-mw0000023891,The Wild Thornberrys Movie [Original Score],Stage & Screen
My Best Friend's Wedding,tt0119738,1997,mw0000023914,https://www.allmusic.com/album/my-best-friends-wedding-original-soundtrack-mw0000023914,My Best Friend's Wedding [Original Soundtrack],Stage & Screen
Evita,tt0116250,1997,mw0000023920,https://www.allmusic.com/album/evita-motion-picture-music-soundtrack-mw0000023920,Evita [Motion Picture Music Soundtrack],"Pop/Rock, Stage & Screen"
Chasing Papi,tt0323572,2003,mw0000025410,https://www.allmusic.com/album/chasing-papi-mw0000025410,Chasing Papi,"Stage & Screen, Latin"
L.A. Confidential,tt0119488,1997,mw0000025508,https://www.allmusic.com/album/la-confidential-soundtrack-mw0000025508,L.A. Confidential [Soundtrack],"Stage & Screen, Vocal"
George of the Jungle,tt0119190,1997,mw0000025564,https://www.allmusic.com/album/george-of-the-jungle-mw0000025564,George of the Jungle,"Stage & Screen, Pop/Rock"
The Full Monty,tt0119164,1997,mw0000025580,https://www.allmusic.com/album/the-full-monty-original-motion-picture-soundtrack-mw0000025580,The Full Monty [Original Motion Picture Soundtrack],"Stage & Screen, Pop/Rock, R&B"
G.I. Jane,tt0119173,1997,mw0000025771,https://www.allmusic.com/album/gi-jane-mw0000025771,G.I. Jane,"Stage & Screen, Pop/Rock"
Leave It to Beaver,tt0119509,1997,mw0000025801,https://www.allmusic.com/album/leave-it-to-beaver-mw0000025801,Leave It to Beaver,Stage & Screen
Free Willy 3: The Rescue,tt0119152,1997,mw0000025927,https://www.allmusic.com/album/free-willy-3-the-rescue-mw0000025927,Free Willy 3: The Rescue,Stage & Screen
Addicted to Love,tt0118556,1997,mw0000026055,https://www.allmusic.com/album/addicted-to-love-original-score-mw0000026055,Addicted to Love [Original Score],"Stage & Screen, Pop/Rock"
Planet of the Apes,tt0133152,2001,mw0000026417,https://www.allmusic.com/album/planet-of-the-apes-original-soundtrack-mw0000026417,Planet of the Apes [Original Soundtrack],Stage & Screen
A Smile Like Yours,tt0120151,1997,mw0000026423,https://www.allmusic.com/album/a-smile-like-yours-mw0000026423,A Smile Like Yours,"Stage & Screen, Pop/Rock, R&B"
Fire Down Below,tt0119123,1997,mw0000026676,https://www.allmusic.com/album/fire-down-below-mw0000026676,Fire Down Below,Stage & Screen
Kull the Conqueror,tt0119484,1997,mw0000026913,https://www.allmusic.com/album/kull-the-conqueror-mw0000026913,Kull the Conqueror,Stage & Screen
"Kiss Me, Guido",tt0119465,1997,mw0000027088,https://www.allmusic.com/album/kiss-me-guido-mw0000027088,Kiss Me Guido,"Stage & Screen, Electronic, Pop/Rock, R&B"
U Turn,tt0120399,1997,mw0000027539,https://www.allmusic.com/album/u-turn-original-soundtrack-mw0000027539,U Turn [Original Soundtrack],"Stage & Screen, Country, Pop/Rock"
Boogie Nights,tt0118749,1997,mw0000027564,https://www.allmusic.com/album/boogie-nights-original-soundtrack-mw0000027564,Boogie Nights [Original Soundtrack],"Stage & Screen, R&B, Pop/Rock"
Finding Nemo,tt0266543,2003,mw0000027670,https://www.allmusic.com/album/finding-nemo-original-motion-picture-soundtrack-mw0000027670,Finding Nemo [Original Motion Picture Soundtrack],"Stage & Screen, Children's"
A Life Less Ordinary,tt0119535,1997,mw0000028577,https://www.allmusic.com/album/a-life-less-ordinary-mw0000028577,A Life Less Ordinary,"Stage & Screen, Pop/Rock"
I Know What You Did Last Summer,tt0119345,1997,mw0000028601,https://www.allmusic.com/album/i-know-what-you-did-last-summer-mw0000028601,I Know What You Did Last Summer,Stage & Screen
Kiss the Girls,tt0119468,1997,mw0000028683,https://www.allmusic.com/album/kiss-the-girls-original-motion-picture-soundtrack-mw0000028683,Kiss the Girls [Original Motion Picture Soundtrack],"Stage & Screen, Country"
Mortal Kombat: Annihilation,tt0119707,1997,mw0000029002,https://www.allmusic.com/album/mortal-kombat-annihilation-mw0000029002,Mortal Kombat Annihilation,Stage & Screen
Down with Love,tt0309530,2003,mw0000029168,https://www.allmusic.com/album/down-with-love-mw0000029168,Down with Love,"Stage & Screen, Pop/Rock"
Alien: Resurrection,tt0118583,1997,mw0000029245,https://www.allmusic.com/album/alien-resurrection-mw0000029245,Alien Resurrection,Stage & Screen
Starship Troopers,tt0120201,1997,mw0000029471,https://www.allmusic.com/album/starship-troopers-original-motion-picture-soundtrack-mw0000029471,Starship Troopers [Original Motion Picture Soundtrack],Stage & Screen
I Got the Hook Up,tt0131436,1998,mw0000029601,https://www.allmusic.com/album/i-got-the-hook-up-mw0000029601,I Got the Hook Up,"Stage & Screen, Rap"
Jackie Brown,tt0119396,1997,mw0000029919,https://www.allmusic.com/album/jackie-brown-orginal-motion-picture-soundtrack-mw0000029919,Jackie Brown [Orginal Motion Picture Soundtrack],"Stage & Screen, R&B"
The Man Who Knew Too Little,tt0120483,1997,mw0000030056,https://www.allmusic.com/album/the-man-who-knew-too-little-original-motion-picture-soundtrack-mw0000030056,The Man Who Knew Too Little [Original Motion Picture Soundtrack],Stage & Screen
Midnight in the Garden of Good and Evil,tt0119668,1997,mw0000030408,https://www.allmusic.com/album/midnight-in-the-garden-of-good-evil-mw0000030408,Midnight in the Garden of Good & Evil,Stage & Screen
Good Will Hunting,tt0119217,1998,mw0000030450,https://www.allmusic.com/album/good-will-hunting-original-soundtrack-mw0000030450,Good Will Hunting [Original Soundtrack],"Stage & Screen, Pop/Rock"
For Richer or Poorer,tt0119142,1997,mw0000030654,https://www.allmusic.com/album/for-richer-or-poorer-mw0000030654,For Richer or Poorer,Stage & Screen
Great Expectations,tt0119223,1998,mw0000030844,https://www.allmusic.com/album/great-expectations-original-soundtrack-mw0000030844,Great Expectations [Original Soundtrack],"Pop/Rock, Electronic, Stage & Screen"
Wag the Dog,tt0120885,1998,mw0000031821,https://www.allmusic.com/album/wag-the-dog-mw0000031821,Wag the Dog,"Stage & Screen, Pop/Rock"
Red Corner,tt0119994,1997,mw0000031888,https://www.allmusic.com/album/red-corner-original-motion-picture-soundtrack-mw0000031888,Red Corner [Original Motion Picture Soundtrack],Stage & Screen
The Wings of the Dove,tt0120520,1998,mw0000032084,https://www.allmusic.com/album/the-wings-of-the-dove-mw0000032084,The Wings of the Dove,Stage & Screen
Blues Brothers 2000,tt0118747,1998,mw0000032325,https://www.allmusic.com/album/blues-brothers-2000-mw0000032325,Blues Brothers 2000,Stage & Screen
The Wedding Singer,tt0120888,1998,mw0000032589,https://www.allmusic.com/album/the-wedding-singer-original-soundtrack-mw0000032589,The Wedding Singer [Original Soundtrack],"Stage & Screen, Pop/Rock"
Bruce Almighty,tt0315327,2003,mw0000032593,https://www.allmusic.com/album/bruce-almighty-original-motion-picture-soundtrack-mw0000032593,Bruce Almighty [Original Motion Picture Soundtrack],"Stage & Screen, Pop/Rock, Blues"
Zero Effect,tt0120906,1998,mw0000032688,https://www.allmusic.com/album/zero-effect-mw0000032688,Zero Effect,"Stage & Screen, Pop/Rock"
Mrs Dalloway,tt0119723,1998,mw0000032957,https://www.allmusic.com/album/mrs-dalloway-mw0000032957,Mrs. Dalloway,Stage & Screen
City of Angels,tt0120632,1998,mw0000033629,https://www.allmusic.com/album/city-of-angels-original-soundtrack-mw0000033629,City of Angels [Original Soundtrack],"Stage & Screen, Pop/Rock"
The Big Lebowski,tt0118715,1998,mw0000033663,https://www.allmusic.com/album/the-big-lebowski-original-soundtrack-mw0000033663,The Big Lebowski [Original Soundtrack],"Stage & Screen, Pop/Rock"
28 Days Later...,tt0289043,2003,mw0000033709,https://www.allmusic.com/album/28-days-later-enhanced-score-ost-mw0000033709,28 Days Later (Enhanced) (Score)/O.S.T.,Stage & Screen
The Replacement Killers,tt0120008,1998,mw0000034424,https://www.allmusic.com/album/the-replacement-killers-original-motion-picture-score-mw0000034424,The Replacement Killers [Original Motion Picture Score],Stage & Screen
Sinbad: Legend of the Seven Seas,tt0165982,2003,mw0000035121,https://www.allmusic.com/album/sinbad-legend-of-the-seven-seas-music-from-the-motion-picture-score-mw0000035121,"Sinbad, Legend of the Seven Seas [Music from the Motion Picture Score]","Stage & Screen, Classical"
U.S. Marshals,tt0120873,1998,mw0000035239,https://www.allmusic.com/album/us-marshals-original-motion-picture-soundtrack-mw0000035239,U.S. Marshals [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
He Got Game,tt0124718,1998,mw0000035394,https://www.allmusic.com/album/he-got-game-mw0000035394,He Got Game,"Rap, Stage & Screen"
Hope Floats,tt0119313,1998,mw0000035710,https://www.allmusic.com/album/hope-floats-original-soundtrack-mw0000035710,Hope Floats [Original Soundtrack],"Stage & Screen, Country, Pop/Rock"
Mercury Rising,tt0120749,1998,mw0000035838,https://www.allmusic.com/album/mercury-rising-original-soundtrack-mw0000035838,Mercury Rising [Original Soundtrack],Stage & Screen
Primary Colors,tt0119942,1998,mw0000036106,https://www.allmusic.com/album/primary-colors-mw0000036106,Primary Colors,Stage & Screen
Wrong Turn,tt0295700,2003,mw0000036180,https://www.allmusic.com/album/wrong-turn-original-soundtrack-mw0000036180,Wrong Turn [Original Soundtrack],Stage & Screen
Black Dog,tt0120610,1998,mw0000036289,https://www.allmusic.com/album/black-dog-mw0000036289,Black Dog,"Stage & Screen, Electronic"
The Thomas Crown Affair,tt0155267,1999,mw0000036314,https://www.allmusic.com/album/the-thomas-crown-affair-original-motion-picture-soundtrack-mw0000036314,The Thomas Crown Affair [Original Motion Picture Soundtrack],"Stage & Screen, Classical, Jazz, Pop/Rock"
Johnny English,tt0274166,2003,mw0000036654,https://www.allmusic.com/album/johnny-english-original-motion-picture-soundtrack-mw0000036654,Johnny English [Original Motion Picture Soundtrack],"Stage & Screen, Pop/Rock"
Terminator 3: Rise of the Machines,tt0181852,2003,mw0000036674,https://www.allmusic.com/album/terminator-3-rise-of-the-machines-original-motion-picture-soundtrack-mw0000036674,Terminator 3: Rise of the Machines [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
Fear and Loathing in Las Vegas,tt0120669,1998,mw0000037178,https://www.allmusic.com/album/fear-and-loathing-in-las-vegas-original-motion-picture-soundtrack-mw0000037178,Fear and Loathing in Las Vegas [Original Motion Picture Soundtrack],"Stage & Screen, Pop/Rock"
Deep Impact,tt0120647,1998,mw0000037517,https://www.allmusic.com/album/deep-impact-original-motion-picture-soundtrack-mw0000037517,Deep Impact [Original Motion Picture Soundtrack],Stage & Screen
The Crow: City of Angels,tt0115986,1996,mw0000038054,https://www.allmusic.com/album/the-crow-city-of-angels-original-soundtrack-mw0000038054,The Crow: City of Angels [Original Soundtrack],"Stage & Screen, Pop/Rock"
Six Days Seven Nights,tt0120828,1998,mw0000038147,https://www.allmusic.com/album/six-days-seven-nights-mw0000038147,"Six Days, Seven Nights",Stage & Screen
Hav Plenty,tt0126938,1998,mw0000038402,https://www.allmusic.com/album/hav-plenty-mw0000038402,Hav Plenty,"Stage & Screen, R&B"
Cousin Bette,tt0118894,1998,mw0000038839,https://www.allmusic.com/album/cousin-bette-mw0000038839,Cousin Bette,"Stage & Screen, Classical"
Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,2003,mw0000038919,https://www.allmusic.com/album/pirates-of-the-caribbean-the-curse-of-the-black-pearl-mw0000038919,Pirates of the Caribbean: The Curse of the Black Pearl,"Stage & Screen, Classical"
Bad Boys,tt0112442,1995,mw0000039085,https://www.allmusic.com/album/bad-boys-ii-mw0000039085,Bad Boys II,"Stage & Screen, Rap, R&B"
Bad Boys II,tt0172156,2003,mw0000039085,https://www.allmusic.com/album/bad-boys-ii-mw0000039085,Bad Boys II,"Stage & Screen, Rap, R&B"
The Mask of Zorro,tt0120746,1998,mw0000039542,https://www.allmusic.com/album/the-mask-of-zorro-original-motion-picture-soundtrack-mw0000039542,The Mask of Zorro [Original Motion Picture Soundtrack],Stage & Screen
A Perfect Murder,tt0120787,1998,mw0000039671,https://www.allmusic.com/album/a-perfect-murder-mw0000039671,A Perfect Murder,Stage & Screen
Saving Private Ryan,tt0120815,1998,mw0000039821,https://www.allmusic.com/album/saving-private-ryan-original-motion-picture-soundtrack-mw0000039821,Saving Private Ryan [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
Buffalo '66,tt0118789,1998,mw0000039825,https://www.allmusic.com/album/buffalo-66-mw0000039825,Buffalo 66,"Stage & Screen, Pop/Rock"
Slums of Beverly Hills,tt0120831,1998,mw0000040857,https://www.allmusic.com/album/slums-of-beverly-hills-mw0000040857,Slums of Beverly Hills,"Stage & Screen, Pop/Rock, Country, R&B"
Freaky Friday,tt0322330,2003,mw0000041018,https://www.allmusic.com/album/freaky-friday-2003-original-motion-picture-soundtrack-mw0000041018,Freaky Friday [2003] [Original Motion Picture Soundtrack],Stage & Screen
There's Something About Mary,tt0129387,1998,mw0000041063,https://www.allmusic.com/album/theres-something-about-mary-mw0000041063,There's Something About Mary,"Stage & Screen, Pop/Rock"
Next Stop Wonderland,tt0119778,1998,mw0000041182,https://www.allmusic.com/album/next-stop-wonderland-mw0000041182,Next Stop Wonderland,"Stage & Screen, International"
Dead Man on Campus,tt0118301,1998,mw0000041546,https://www.allmusic.com/album/dead-man-on-campus-mw0000041546,Dead Man on Campus,Stage & Screen
Billy's Hollywood Screen Kiss,tt0137386,1998,mw0000042093,https://www.allmusic.com/album/billys-hollywood-screen-kiss-mw0000042093,Billy's Hollywood Screen Kiss,"Stage & Screen, Pop/Rock"
Simon Birch,tt0124879,1998,mw0000042368,https://www.allmusic.com/album/simon-birch-mw0000042368,Simon Birch,"Stage & Screen, Pop/Rock, R&B, Vocal"
Beauty and the Beast,tt0101414,1991,mw0000042616,https://www.allmusic.com/album/beauty-and-the-beast-1991-original-motion-picture-soundtrack-mw0000042616,Beauty and the Beast [1991] [Original Motion Picture Soundtrack],"Stage & Screen, Classical, Children's"
A Soldier's Daughter Never Cries,tt0120835,1998,mw0000042832,https://www.allmusic.com/album/a-soldiers-daughter-never-cries-mw0000042832,A Soldier's Daughter Never Cries,"Stage & Screen, Pop/Rock, R&B"
American Splendor,tt0305206,2003,mw0000042847,https://www.allmusic.com/album/american-splendor-mw0000042847,American Splendor,"Stage & Screen, Jazz, Blues"
Apt Pupil,tt0118636,1998,mw0000043179,https://www.allmusic.com/album/apt-pupil-mw0000043179,Apt Pupil,Stage & Screen
Disturbing Behavior,tt0134619,1998,mw0000043233,https://www.allmusic.com/album/disturbing-behavior-mw0000043233,Disturbing Behavior,"Stage & Screen, Pop/Rock"
Practical Magic,tt0120791,1998,mw0000043498,https://www.allmusic.com/album/practical-magic-2-mw0000043498,Practical Magic [#2],"Stage & Screen, Pop/Rock"
Life Is Beautiful,tt0118799,1999,mw0000043867,https://www.allmusic.com/album/la-vita-e-bella-life-is-beautiful-mw0000043867,La Vita e Bella [Life is Beautiful],"Stage & Screen, Classical"
One True Thing,tt0120776,1998,mw0000044014,https://www.allmusic.com/album/one-true-thing-original-motion-picture-soundtrack-mw0000044014,One True Thing [Original Motion Picture Soundtrack],Stage & Screen
Enemy of the State,tt0120660,1998,mw0000044048,https://www.allmusic.com/album/enemy-of-the-state-mw0000044048,Enemy of the State,"Stage & Screen, Classical"
A Night at the Roxbury,tt0120770,1998,mw0000044115,https://www.allmusic.com/album/a-night-at-the-roxbury-soundtrack-mw0000044115,A Night at the Roxbury [Soundtrack],"Stage & Screen, Electronic"
Meet Joe Black,tt0119643,1998,mw0000044855,https://www.allmusic.com/album/meet-joe-black-original-motion-picture-soundtrack-mw0000044855,Meet Joe Black [Original Motion Picture Soundtrack],Stage & Screen
Dancing at Lughnasa,tt0120643,1998,mw0000044994,https://www.allmusic.com/album/dancing-at-lughnasa-mw0000044994,Dancing at Lughnasa,Stage & Screen
Gods and Monsters,tt0120684,1998,mw0000045024,https://www.allmusic.com/album/gods-and-monsters-mw0000045024,Gods and Monsters,Stage & Screen
You've Got Mail,tt0128853,1998,mw0000045129,https://www.allmusic.com/album/youve-got-mail-original-soundtrack-mw0000045129,You've Got Mail [Original Soundtrack],"Stage & Screen, Pop/Rock"
The Prince of Egypt,tt0120794,1998,mw0000045131,https://www.allmusic.com/album/the-prince-of-egypt-mw0000045131,The Prince of Egypt,Stage & Screen
Down in the Delta,tt0142231,1998,mw0000045731,https://www.allmusic.com/album/down-in-the-delta-mw0000045731,Down in the Delta,Stage & Screen
American History X,tt0120586,1998,mw0000045794,https://www.allmusic.com/album/american-history-x-mw0000045794,American History X,Stage & Screen
Very Bad Things,tt0124198,1998,mw0000045799,https://www.allmusic.com/album/very-bad-things-mw0000045799,Very Bad Things,Stage & Screen
I Still Know What You Did Last Summer,tt0130018,1998,mw0000045923,https://www.allmusic.com/album/i-still-know-what-you-did-last-summer-mw0000045923,I Still Know What You Did Last Summer,Stage & Screen
Bride of Chucky,tt0144120,1998,mw0000045993,https://www.allmusic.com/album/childs-play-4-the-bride-of-chucky-mw0000045993,Child's Play 4: The Bride of Chucky,"Stage & Screen, Pop/Rock"
Shakespeare in Love,tt0138097,1999,mw0000046022,https://www.allmusic.com/album/shakespeare-in-love-mw0000046022,Shakespeare in Love,"Stage & Screen, Classical"
Excess Baggage,tt0119086,1997,mw0000046377,https://www.allmusic.com/album/excess-baggage-mw0000046377,Excess Baggage,Stage & Screen
Inspector Gadget,tt0141369,1999,mw0000046899,https://www.allmusic.com/album/inspector-gadget-mw0000046899,Inspector Gadget,Stage & Screen
Patch Adams,tt0129290,1998,mw0000047186,https://www.allmusic.com/album/patch-adams-mw0000047186,Patch Adams,"Stage & Screen, Pop/Rock"
The Parent Trap,tt0120783,1998,mw0000047245,https://www.allmusic.com/album/the-parent-trap-1998-original-soundtrack-mw0000047245,The Parent Trap [1998 Original Soundtrack],"Stage & Screen, Pop/Rock"
What Dreams May Come,tt0120889,1998,mw0000047340,https://www.allmusic.com/album/what-dreams-may-come-mw0000047340,What Dreams May Come,Stage & Screen
Jack Frost,tt0141109,1998,mw0000048340,https://www.allmusic.com/album/jack-frost-original-soundtrack-mw0000048340,Jack Frost [Original Soundtrack],Stage & Screen
Never Been Kissed,tt0151738,1999,mw0000048749,https://www.allmusic.com/album/never-been-kissed-mw0000048749,Never Been Kissed,"Stage & Screen, Pop/Rock"
Cruel Intentions,tt0139134,1999,mw0000048764,https://www.allmusic.com/album/cruel-intentions-mw0000048764,Cruel Intentions,"Stage & Screen, Pop/Rock"
Star Trek: Insurrection,tt0120844,1998,mw0000048897,https://www.allmusic.com/album/star-trek-insurrection-original-motion-picture-soundtrack-mw0000048897,Star Trek: Insurrection [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
Forces of Nature,tt0141098,1999,mw0000049000,https://www.allmusic.com/album/forces-of-nature-mw0000049000,Forces of Nature,Stage & Screen
