,tmdb_id,imdb_id,title,year,Unnamed: 4,cast,Director,Epk Director,Epk Producer,Executive Music Producer,Executive Producer,Music,Music Director,Music Editor,Music Producer,Original Music Composer,Producer,Songs,Writer
12,10481,tt0211181,102 Dalmatians,2000,,"Glenn Close, Ioan Gruffudd, Alice Evans, Tim McInnerny, Gérard Depardieu, Eric Idle, Ben Crompton, Carol MacReady, Ian Richardson, Jim Carter, Ron Cook, Timothy West, David Horovitch, Mike Hayley",Kevin Lima,,,,,David Newman,,,,,Edward S. Feldman,,
13,17134,tt1160368,12 Rounds,2009,,"John Cena, Aidan Gillen, Ashley Scott, Brian J. White, Taylor Cole, Gonzalo Menendez, Steve Harris, Nick Gomez, Billy Slaughter, Kyle Clements, Peter Navy Tuiasosopo, Travis Davis, Brian Stanton, Rosalind Rubin, Kim Collins, Lara Grice, Douglas M. Griffin, Vincent Flood, Robert Pralgo, Wally Crowder, Luke Albright, John Wilmot, Louis Herthum, David Frye, Roy Huang, Bill Martin Williams, J. Omar Castro, Brandi Coleman, Mikki Val, Jada K. Cox, Hunter Burke, Danie Coleman",Renny Harlin,,,,Becki Cross Trujillo,Trevor Rabin,,Robb Boyd,,,"Mark Gordon, Michael Lake, Josh McLaughlin",,Daniel Kunka
14,429351,tt1413492,12 Strong,2018,,"Chris Hemsworth, Michael Shannon, Michael Peña, Trevante Rhodes, Navid Negahban, Geoff Stults, Thad Luckinbill, Austin Stowell, Ben O'Toole, Jack Kesy, Fahim Fazli, Austin Hébert, Kenny Sheard, Elsa Pataky, Yousuf Azami, Taylor Sheridan, William Fichtner, Rob Riggle, Yasmine Aker, Marie Wagenman, Kevin Kent, Lauren Myers, Seth Adkins, Allison King, Mustafa Haidari, Shawn Lecrone, Frank Powers, Martin Palmer, Laith Nakli, J. Nathan Simmons, Veronica Diaz-Carranza, Peter Karas, Ali Olomi, Shvan Aladdin, Kenneth Miller, Tim Aydelott, Matthew Van Wettering, James Joseph Pulido, Shawn Sarmeidani, Anouar H. Smaine, Nour Bitar, Edward Butron, Christian Pedersen, Arshia Mandavi, Nate Boyer, Adrian Luna, Benjamin Poe, Perla Daoud, Michael E. Stogner, Lawrence Gilligan, Michael Sercerchi, Tommy Truex, Jay Moore",Nicolai Fuglsig,,,,"Yale Badik, Val Hill",Lorne Balfe,,Richard Ziegler,,,"Jerry Bruckheimer, Molly Smith, Thad Luckinbill, Trent Luckinbill",,"Ted Tally, Peter Craig"
15,76203,tt2024544,12 Years a Slave,2013,,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Benedict Cumberbatch, Paul Dano, Sarah Paulson, Adepero Oduye, Scoot McNairy, Paul Giamatti, Brad Pitt, Michael Kenneth Williams, Alfre Woodard, Chris Chalk, Taran Killam, Bill Camp, Kelsey Scott, Bryan Batt, Quvenzhané Wallis, Garret Dillahunt, Dwight Henry, Dickie Gravois, Ashley Dyke, Cameron Zeigler, Tony Bentley, Christopher Berry, Mister Mackey Jr., Craig Tate, Storm Reid, Tom Proctor, Marc Macaulay, Vivian Fleming-Alvarez, Douglas M. Griffin, John McConnell, Marcus Lyle Brown, Richard Holden, Rob Steinberg, Anwan Glover, James C. Victor, Liza J. Bennett, Nicole Collins, J.D. Evermore, Andy Dylan, Deneen Tyler, Mustafa Harris, Gregory Bright, Austin Purnell, Thomas Francis Murphy, Andre De'Sean Shanks, Kelvin Harrison Jr., Scott M. Jefferson, Isaiah Jackson, Topsy Chapman, Devin Maurice Evans, Jay Huguley, Devyn A. Tyler, Willo Jean-Baptiste, Jason Ament, Jon Arthur, Sean Paul Braud, Blake Burt, Carroll Burt, Edward J. Clare, JJ Coker, Haylie Creppel, Justin Edward Davis, Jim Johnson, Mark Joyce, John C. Klein, Cynthia LeBlanc, Elton LeBlanc, Gerard 'Jerry' Lewis, Kevonte Mcdonald, Ritchie Montgomery, Jason Owen, Shawn Parsons, Haley Powell, Wayne Pére, Terrell Ransom Jr., Erin Rementer, Andre Robinson, Corrina Roshea Bobb, Jarett Shorts, Chaz Smith, Tyler Soerries, Tre Tureaud, Justin Christopher Vaughn, Bob Walker, Caroline Grace Williamson, Timothy Wyant, Kadrolsha Ona Carole, Allyson Leigh Jordan",Steve McQueen,,,,"Tessa Ross, John Ridley",,,"Katrina Schiller, Catherine Wilson",,Hans Zimmer,"Brad Pitt, Arnon Milchan, Dede Gardner, Bill Pohlad, Anthony Katagas, Steve McQueen, Jeremy Kleiner",,
16,44115,tt1542344,127 Hours,2011,,"James Franco, Kate Mara, Amber Tamblyn, Clémence Poésy, Lizzy Caplan, Kate Burton, Bailee Michelle Johnson, Treat Williams, Sean Bott, Koleman Stinger, Parker Hadley, Rebecca C. Olson, Fenton Quinn, John Lawrence, Pieter Jan Brugge, Norman Lehnert, Peter Joshua Hull, Darin Southam, Terry S. Mercer, Elizabeth Hales, Brad Johnson, Samantha Marsden, Kyle Paul, Kelsie Mathews, Aron Ralston, Johnny Ahn, Robert Bear, Lonzo Liggins, Priscilla Poland",Danny Boyle,,,,"Tessa Ross, François Ivernel, Cameron McCracken, Bernard Bellew, John J. Kelly, Lisa Maria Falcone, Diarmuid McKeown",,,John Warhurst,,A. R. Rahman,"Danny Boyle, Christian Colson, John Smithson, Tom Heller, Gareth Smith",,
17,10096,tt0337563,13 Going on 30,2004,,"Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis, Christa B. Allen, Sean Marquette, Alexandra Kyle, Kathy Baker, Phil Reeves, Lynn Collins, Samuel Ball, Susan Egan, Marcia DeBonis, Kiersten Warren, Scout Taylor-Compton, Jim Gaffigan, Alex Black, Ashley Benson, Brie Larson, Brittany Curran, Renee Olstead, Kayla Hickson, Nick Olig, Steven Strozza, Maz Jobrani, Joe Grifasi, Mary Pat Gleason, Megan Lusk, Julia Roth, Sarah Loew, Philip Pavel, Robinne Lee, Benita Krista Nall, Catherine Combs, Gia Mantegna, Sydni Beaudoin, George Hine, Irena Violette, Ian Barford, Sara Swain, Corena Chase, Crystal Michelle, Nadine Ellis, Adrian Armas, Carmit Bachar, Tyce Diorio, Stacey Harper, Brandon Henschel, Kadee Sweeney, Kimberly Wyatt, Nancy O'Meara, Tara Battani, Nicole Abisinio",Gary Winick,,,,"Todd Garner, Dan Kolsrud",,,Daniel Pinder,,Theodore Shapiro,"Susan Arnold, Donna Roth, Gina Matthews",,
18,1492,tt0103594,1492: Conquest of Paradise,1992,,"Gérard Depardieu, Armand Assante, Sigourney Weaver, Loren Dean, Ángela Molina, Fernando Rey, Michael Wincott, Kevin Dunn, Tchéky Karyo, Frank Langella, Mark Margolis, Arnold Vosloo, Steven Waddington, Fernando Guillén Cuervo, Juan Diego Botto, Fernando García Rimada, Albert Vidal, José Luis Ferrer, Jack Taylor, Billy L. Sullivan",Ridley Scott,,,,"Iain Smith, Mimi Polk Gitlin",,,Robin Clarke,,Vangelis,"Ridley Scott, Alain Goldman, Roselyne Bosch, Marc Boyman, Garth Thomas, Pere Fages",,
19,2749,tt0179626,15 Minutes,2001,,"Robert De Niro, Charlize Theron, Kelsey Grammer, Avery Brooks, Vera Farmiga, Edward Burns, Kim Cattrall, David Alan Grier, Roseanne Barr, Anton Yelchin, Paul Herman, Melina Kanakaredes, Karel Roden, Oleg Taktarov, John DiResta, James Handy, Darius McCrary, Brantley Bush, Vladimir Mashkov, Noelle Evans, Gabriel Casseus, Joe Lisi, Tygh Runyan, Ritchie Coster, Bobby Field, Kurt Andon, Rikki Klieman, Sebastian Roché, Kata Dobó, Dorit Sauer, Marco Khan, Toni Kalem, Jane Velez-Mitchell, Barry Primus, Gail Greaves, Jorge H. Guzman, Spero Stamboulis, Joseph Alfieri, Julieta Espinoza, Michael Arthur, William H. Burns, Jamie Burton-Oare, Giovanni Capitello, Rose Colasanti, Ben Fiore, Celeste Gregoire, Zuhair Haddad, Philippe Hartmann, Everton Lawrence, Janean Christine Mariani, Riley G. Matthews Jr.",John Herzfeld,,,,Claire Rudnick Polstein,,,"Zigmund Gron, Mark Jan Wlodarkiewicz",,"Anthony Marinelli, J. Peter Robinson","Nick Wechsler, Keith Addis, John Herzfeld, David Blocker",,John Herzfeld
20,2207,tt0450232,16 Blocks,2006,,"Bruce Willis, Yasiin Bey, David Morse, Jenna Stern, David Zayas, Casey Sander, Cylk Cozart, Robert Racki, Patrick Garrow, Sasha Roiz, Conrad Pla, Hechter Ubarry, Richard Fitzpatrick, Peter McRobbie, Robert Clohessy, Tig Fong, David Sparrow, Beatriz Yuste, Danny Lima, Angela Seto, Rob Wiethoff, Paul Tuerpe, Sam Moses, Talia Russo",Richard Donner,,,,"Boaz Davidson, George Furla, Trevor Short, Danny Dimbort, Josef Lautenschlager, Andreas Thiesmeyer, Hadeel Reda",,,Daryl B. Kell,,Klaus Badelt,"Avi Lerner, Randall Emmett, Arnold Rifkin, John Thompson, Jim Van Wyck",,Richard Wenk
21,16996,tt0974661,17 Again,2009,,"Zac Efron, Leslie Mann, Matthew Perry, Michelle Trachtenberg, Allison Miller, Thomas Lennon, Sterling Knight, Kat Graham, Tyler Steelman, Tiya Sircar, Melissa Ordway, Josie Loren, Jim Gaffigan, Collette Wolfe, Adam Gregory, Hunter Parrish, Mario Cassem, Melora Hardin, Brian Doyle-Murray, Tommy Dewey, Lorna Scott, Kodi Kitchen, Diana Maria Riva, Ellis E. Williams, Ed Ackerman, Will Schaub, Loren Lester, Nicole Sullivan, Margaret Cho, Larry Poindexter, Bubba Lewis, Chris Valenti, G. Lane Hillman, Hope Riley, Jeanine Jackson, Gregory Sporleder, Keith Oney, Leonard Wu, Liana Blackburn, Lindsay Taylor, Shelby Rabara, Danielle E. Hawkins, Katrina Norman, Rhapsody Violetti, Tiana Brown, Taisha Monique Clark, Vanessa Lee Chester, Tyne Stecklein, Jordan Schatz, Jesse Heiman",Burr Steers,,,,,,,"Nick South, Massimo Ruberto",,Rolfe Kent,"Adam Shankman, Jennifer Gibgot",,
22,1845,tt0841044,2 Days in Paris,2007,,"Julie Delpy, Adam Goldberg, Daniel Brühl, Adan Jodorowsky, Alexandre Nahon, Albert Delpy, Alexia Landeau, Vanessa Seward, Marie Pillet, Charlotte Maury-Sentier, Thibault De Lussy, Sandra Berrebi, Arnaud Beunaiche, Ludovic Berthillot, Chick Ortega, Patrick Chupin, Antar Boudache, Hubert Toint, René-Alban Fleury, Pierre Alloggia, Jean-François Perrone, Bela Grushka, Benjamin Baroche, Julie Bouvier, Soraya Mangin, Till Bahlmann, Jean-Baptiste Puech, Clément Rouault, Marie Drion, Corinne Visery, Silvio Bolino, Manuel Cortell, Nanou Benhamou, Julien Bichet, Pascal Stencel, Sylvain Menage, Bulut Oktay",Julie Delpy,,,,,Julie Delpy,,,,,"Julie Delpy, Christophe Mazodier, Thierry Potok",,
23,9401,tt0115438,2 Days in the Valley,1996,,"Danny Aiello, Greg Cruttwell, Jeff Daniels, Teri Hatcher, Glenne Headly, Peter Horton, Marsha Mason, Paul Mazursky, James Spader, Eric Stoltz, Charlize Theron, Keith Carradine, Louise Fletcher, Austin Pendleton, Kathleen Luong, Michael Jai White, Cress Williams, Lawrence Tierney, Micole Mercurio, William Stanton, Deborah Benson, Ada Maris",John Herzfeld,,,,,Anthony Marinelli,,,,,"Herb Nanas, Jeff Wald",,
24,584,tt0322259,2 Fast 2 Furious,2003,,"Paul Walker, Tyrese Gibson, Eva Mendes, Ludacris, Cole Hauser, James Remar, Devon Aoki, Thom Barry, Amaury Nolasco, Michael Ealy, Jin Au-Yeung, Mark Boone Junior, Mo Gallini, Roberto 'Sanz' Sanchez, John Cenatiempo, Eric Etebari, Neal H. Moritz, Edward Finlay, Troy Brown, Corey Michael Eubanks, Sammy Maloof, Troy Robinson, Jose Perez, Sincerely A. Ward, Nievecita Dubuque, Tequilla Hill, Bettina Huffer, Phuong Tuyet Vo, Felecia Rafield, Mateo Herreros, Walter 'Duke' Foster, Zachary L. Mann, Kerry Rossall, Marc Macaulay, Cobette Harper, Limary Agosto, Tony Bolano, Marianne M. Arreaga, Vin Diesel, Tara Carroll, Tamara Jones",John Singleton,,Jim Bacon,,"Michael Fottrell, Lee R. Mayes",,,Jordan Corngold,,David Arnold,Neal H. Moritz,,
25,136400,tt1272878,2 Guns,2013,,"Mark Wahlberg, Denzel Washington, Paula Patton, Bill Paxton, Fred Ward, James Marsden, Edward James Olmos, Robert John Burke, Tait Fletcher, Ambyr Childers, Doris Morgado, Evie Thompson, Azure Parsons, Edgar Arreola, Patrick Fischler, Christopher Matthew Cook, Tim Bell, Lindsey G. Smith, Greg Sproles, Derek Solorsano, Kyle Clements, John McConnell, Jack Landry, Ritchie Montgomery, Robert Larriviere, Lucy Faust, George Wilson, Yohance Myles, Jesus Jr., Samuel Baca-Garcia, Michael Beasley, Christopher Dempsey, Bill Stinchcomb, Mark Adam, David Kency, Gilbert Rosales, Peter Gabb, Jason Kirkpatrick, Tony Sanford, Lucky Johnson, Lindsey Gort, Hillel M. Sharman, Aaron Zell, Henry Penzi, Bonnie Bentley",Baltasar Kormákur,,,,"Mark Damon, Jeffrey Stott, Brandt Andersen, Joshua Skurla, Motaz M. Nabulsi",,,Jeff Carson,,Clinton Shorter,"George Furla, Randall Emmett, Marc Platt, Adam Siegel, Norton Herrick, Ross Richie, Andrew Cosby",,
26,15256,tt0137338,200 Cigarettes,1999,,"Ben Affleck, Casey Affleck, Dave Chappelle, Kate Hudson, Janeane Garofalo, Courtney Love, Jay Mohr, Nicole Ari Parker, Martha Plimpton, Christina Ricci, Paul Rudd, Angela Featherstone, Brian McCardie, Catherine Kellner, Gaby Hoffmann, Jennifer Albano, Guillermo Díaz",Risa Bramon Garcia,,,,"Tom Rosenberg, Sigurjón Sighvatsson, Mike Newell, Ted Tannebaum, Alan Greenspan",Mark Mothersbaugh,,,,,"Van Toffler, Betsy Beers, David Gale",,Shana Larsen
27,318160,tt4383208,2015 Oscar Nominated Short Films: Animation,2015,,,,,,,,,,,,,,,
28,107811,tt1711425,21 & Over,2013,,"Skylar Astin, Justin Chon, Miles Teller, Sarah Wright, Jonathan Keltz, François Chau, Christiann Castellanos, Samantha Futerman, Daniel Booko, Basil Harris, Josie Loren, Dustin Ybarra, Bonnie Bentley, Danielle Hartnett, Nikki Phoenix","Jon Lucas, Scott Moore",,,,,Lyle Workman,,,,,"David Hoberman, Ryan Kavanaugh, Todd Lieberman, Hugo Shong",,
29,535292,tt8688634,21 Bridges,2019,,"Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephan James, Taylor Kitsch, Keith David, Alexander Siddig, Louis Cancelmi, Victoria Cartagena, Gary Carr, Morocco Omari, Chris Ghaffari, Dale Pavinski, Christian Isaiah, Sarah Ellen Stephens, Jamie Neumann, Peter Patrikios, Jayson Ward Williams, Suzette Gunn, Khalil McMillan, John Douglas Thompson, Jennifer Onvie, Obi Abili, Andy Truschinski, Darren Lipari, Monica Hernandez, Adriane Lenox, Narci Regina, Sophia Blum, Stephen Medvidick, Zena Marie Ghanney, Kaylah Timoney, Justine Smith, Joseph D Fisher, Danny Plaza, Dwayne A. Thomas, Ryan Love, Joseph Lawrence, Sean Close, John O'Donnell, Katie McClellan, Mike Rainey, Craig Newman, Cheryl Singleton, Pat Kiernan, Vivian Lee, Robin Rieger, Brooke Stacy Mills, Emily-Grace Murray, Chrisdine King, David Adams, Robert Poletick, John Jezior, Tony Giorgio, Sunny De Leon, James Bodnar, Jason Iannacone, Juan Encarnacion, Ray DeBenedictis",Brian Kirk,,,,"Mark Kamine, Rachel Shane, Wang Zhonglei, Wang Zhongjun, Todd Makurath, Adam Fogelson, Felice Bee, Adrian Alperovich",,,Felipe Pacheco,,"Henry Jackman, Alex Belcher","Anthony Russo, Joe Russo, Gigi Pritzker, Robert Simonds, Chadwick Boseman, Mike Larocca, Logan Coles",,
